event,description,etype,worst_verdict,max_severity,n_fail
E1_POI_3ph_5cyc,"3-phase POI fault, 5-cycle clearing",lvrt,PASS,0.332,0
E2_POI_3ph_9cyc,"3-phase POI fault, 9-cycle clearing",lvrt,FAIL,5.752,5
E3_POI_3ph_15cyc,"3-phase POI fault, 15-cycle clearing",lvrt,FAIL,6.418,5
E4_NearLine_3ph_5cyc,"Adjacent line 3-phase fault, 5-cycle clearing",lvrt,PASS,0.332,0
E5_StuckBreaker_350ms,Stuck breaker → delayed clearing 350 ms,lvrt,FAIL,7.235,5
E6_RemoteDelayed_500ms,"Remote fault, delayed clearing 500 ms",lvrt,PASS,2.0,0
E7_LVRT_low_residual_150ms,"POI 3-phase fault with residual V=0.05 pu, 150 ms",lvrt,FAIL,6.065,5
E8_HVRT_1p20_500ms,Capacitor-bank switching overvoltage 1.20 pu for 500 ms,hVRT,PASS,1.8,0
E9_HVRT_1p30_200ms,Light-load overvoltage 1.30 pu for 200 ms,hVRT,FAIL,5.67,5
E10_UF_ramp_57p5,Under-frequency ramp 60→57.5 Hz over 5 s (gen trip),ufrt,PASS,1.6,0
E11_OF_ramp_62p0,Over-frequency ramp 60→62.0 Hz over 3 s (load rejection),ofrt,PASS,1.4,0
E12_OF_ramp_63p0,Severe over-frequency 60→63.0 Hz (large load rejection),ofrt,PASS,1.4,0
