event,etype,description,plant,plant_bus,ptype,verdict,v_margin_pu,f_margin_hz,severity,fail_msg
E1_POI_3ph_5cyc,lvrt,"3-phase POI fault, 5-cycle clearing",Wind-39,39,wind,PASS,0.0,0.0,0.332,
E1_POI_3ph_5cyc,lvrt,"3-phase POI fault, 5-cycle clearing",Wind-32,32,wind,PASS,0.0,0.0,0.332,
E1_POI_3ph_5cyc,lvrt,"3-phase POI fault, 5-cycle clearing",Solar-31,31,solar,PASS,0.0,0.0,0.332,
E1_POI_3ph_5cyc,lvrt,"3-phase POI fault, 5-cycle clearing",Solar-30,30,solar,PASS,0.0,0.0,0.332,
E1_POI_3ph_5cyc,lvrt,"3-phase POI fault, 5-cycle clearing",Wind-37,37,wind,PASS,0.0,0.0,0.332,
E2_POI_3ph_9cyc,lvrt,"3-phase POI fault, 9-cycle clearing",Wind-39,39,wind,FAIL-LVRT,0.0303,0.0,5.752,t=0.249s V=0.149<min 0.180
E2_POI_3ph_9cyc,lvrt,"3-phase POI fault, 9-cycle clearing",Wind-32,32,wind,FAIL-LVRT,0.0303,0.0,5.752,t=0.249s V=0.149<min 0.180
E2_POI_3ph_9cyc,lvrt,"3-phase POI fault, 9-cycle clearing",Solar-31,31,solar,FAIL-LVRT,0.0303,0.0,5.752,t=0.249s V=0.149<min 0.180
E2_POI_3ph_9cyc,lvrt,"3-phase POI fault, 9-cycle clearing",Solar-30,30,solar,FAIL-LVRT,0.0303,0.0,5.752,t=0.249s V=0.149<min 0.180
E2_POI_3ph_9cyc,lvrt,"3-phase POI fault, 9-cycle clearing",Wind-37,37,wind,FAIL-LVRT,0.0303,0.0,5.752,t=0.249s V=0.149<min 0.180
E3_POI_3ph_15cyc,lvrt,"3-phase POI fault, 15-cycle clearing",Wind-39,39,wind,FAIL-LVRT,0.0837,0.0,6.418,t=0.349s V=0.129<min 0.213
E3_POI_3ph_15cyc,lvrt,"3-phase POI fault, 15-cycle clearing",Wind-32,32,wind,FAIL-LVRT,0.0837,0.0,6.418,t=0.349s V=0.129<min 0.213
E3_POI_3ph_15cyc,lvrt,"3-phase POI fault, 15-cycle clearing",Solar-31,31,solar,FAIL-LVRT,0.0837,0.0,6.418,t=0.349s V=0.129<min 0.213
E3_POI_3ph_15cyc,lvrt,"3-phase POI fault, 15-cycle clearing",Solar-30,30,solar,FAIL-LVRT,0.0837,0.0,6.418,t=0.349s V=0.129<min 0.213
E3_POI_3ph_15cyc,lvrt,"3-phase POI fault, 15-cycle clearing",Wind-37,37,wind,FAIL-LVRT,0.0837,0.0,6.418,t=0.349s V=0.129<min 0.213
E4_NearLine_3ph_5cyc,lvrt,"Adjacent line 3-phase fault, 5-cycle clearing",Wind-39,39,wind,PASS,0.0,0.0,0.332,
E4_NearLine_3ph_5cyc,lvrt,"Adjacent line 3-phase fault, 5-cycle clearing",Wind-32,32,wind,PASS,0.0,0.0,0.332,
E4_NearLine_3ph_5cyc,lvrt,"Adjacent line 3-phase fault, 5-cycle clearing",Solar-31,31,solar,PASS,0.0,0.0,0.332,
E4_NearLine_3ph_5cyc,lvrt,"Adjacent line 3-phase fault, 5-cycle clearing",Solar-30,30,solar,PASS,0.0,0.0,0.332,
E4_NearLine_3ph_5cyc,lvrt,"Adjacent line 3-phase fault, 5-cycle clearing",Wind-37,37,wind,PASS,0.0,0.0,0.332,
E5_StuckBreaker_350ms,lvrt,Stuck breaker → delayed clearing 350 ms,Wind-39,39,wind,FAIL-LVRT,0.167,0.0,7.235,t=0.449s V=0.079<min 0.246
E5_StuckBreaker_350ms,lvrt,Stuck breaker → delayed clearing 350 ms,Wind-32,32,wind,FAIL-LVRT,0.167,0.0,7.235,t=0.449s V=0.079<min 0.246
