event,method,pre_over_mw,post_over_mw,violation_reduction_pct,cost_per_hr,n_actions,solve_time_s
P1,no_action,0.0,0.0,0.0,0.0,0,0.0
P1,rule_based,0.0,0.0,0.0,0.0,0,3.123283386230469e-05
P1,dc_opf,0.0,1.9895196601282805e-13,-1.9895196601282805e-11,96547.64223326335,-1,0.010514020919799805
P2,no_action,0.0,0.0,0.0,0.0,0,0.0
P2,rule_based,0.0,0.0,0.0,0.0,0,3.647804260253906e-05
P2,dc_opf,0.0,0.0,0.0,96596.15697375938,-1,0.009753227233886719
P3,no_action,30.335859877740546,30.335859877740546,0.0,0.0,0,0.0
P3,rule_based,30.335859877740546,28.42973733269224,6.283397117241285,2.0,1,0.06402826309204102
P3,dc_opf,30.335859877740546,6.679101716144942e-13,99.9999999999978,96569.44218180742,-1,0.009809255599975586
P4,no_action,59.5769147785668,59.5769147785668,0.0,0.0,0,0.0
P4,rule_based,59.5769147785668,11.858966380142505,80.09469536276012,902.0,2,0.08139753341674805
P4,dc_opf,59.5769147785668,1.5631940186722204e-13,99.99999999999973,95803.51612935736,-1,0.010176658630371094
P5,no_action,2.0396695993782714,2.0396695993782714,0.0,0.0,0,0.0
P5,rule_based,2.0396695993782714,0.0,100.0,900.0,1,0.04634428024291992
P5,dc_opf,2.0396695993782714,1.2789769243681803e-13,99.99999999999373,96233.11342647916,-1,0.009712457656860352
P6,no_action,14.600000000000193,14.600000000000193,0.0,0.0,0,0.0
P6,rule_based,14.600000000000193,14.600000000000193,0.0,0.0,0,0.017187833786010742
P6,dc_opf,14.600000000000193,5.684341886080802e-14,99.99999999999962,96008.98682281049,-1,0.009596586227416992
P7,no_action,7.316794435409747,7.316794435409747,0.0,0.0,0,0.0
P7,rule_based,7.316794435409747,0.0,100.0,1800.0,2,0.057512760162353516
P7,dc_opf,7.316794435409747,7.247535904753022e-13,99.9999999999901,96172.792161878,-1,0.010582447052001953
