IBR %,Event,Scheme,BESS (MW),Nadir (Hz),RoCoF (Hz/s),Recovery (s),MW shed,Pass
0,LLG,PRC0065,0,59.457,0.553,14.93,140.0,Y
0,LLG,PRC0065,50,59.673,0.546,4.24,70.0,Y
0,LTI,PRC0065,0,59.332,0.899,5.45,140.0,Y
0,LTI,PRC0065,50,59.473,0.887,3.85,140.0,Y
0,LLG,NPCC2,0,59.451,0.553,4.04,100.0,Y
0,LLG,NPCC2,50,59.482,0.546,3.48,100.0,Y
0,LTI,NPCC2,0,59.311,0.899,5.05,150.0,N
0,LTI,NPCC2,50,59.393,0.887,3.63,150.0,N
20,LLG,PRC0065,0,59.576,0.690,4.68,70.0,Y
20,LLG,PRC0065,50,59.673,0.679,4.33,70.0,Y
20,LTI,PRC0065,0,59.404,1.122,4.42,140.0,Y
20,LTI,PRC0065,50,59.480,1.103,3.37,140.0,Y
20,LLG,NPCC2,0,59.453,0.690,3.32,100.0,Y
20,LLG,NPCC2,50,59.498,0.679,3.43,100.0,Y
20,LTI,NPCC2,0,59.360,1.122,4.06,150.0,N
20,LTI,NPCC2,50,59.426,1.103,5.00,100.0,N
40,LLG,PRC0065,0,59.545,0.920,4.20,70.0,Y
40,LLG,PRC0065,50,59.666,0.899,5.08,70.0,Y
40,LTI,PRC0065,0,59.407,1.494,3.98,140.0,Y
40,LTI,PRC0065,50,59.474,1.461,3.13,140.0,Y
40,LLG,NPCC2,0,59.436,0.920,2.88,100.0,N
40,LLG,NPCC2,50,59.487,0.899,2.59,100.0,N
40,LTI,NPCC2,0,59.349,1.494,3.60,150.0,N
40,LTI,NPCC2,50,59.415,1.461,11.33,100.0,N
60,LLG,PRC0065,0,59.498,1.377,1.78,140.0,Y
60,LLG,PRC0065,50,59.644,1.331,6.26,70.0,Y
60,LTI,PRC0065,0,59.362,2.237,3.58,140.0,N
60,LTI,PRC0065,50,59.456,2.162,3.73,140.0,N
60,LLG,NPCC2,0,59.404,1.377,2.41,100.0,N
60,LLG,NPCC2,50,59.469,1.331,1.97,100.0,N
60,LTI,NPCC2,0,59.288,2.237,1.72,200.0,N
60,LTI,NPCC2,50,59.380,2.162,2.37,150.0,N
70,LLG,PRC0065,0,59.484,1.832,1.27,140.0,N
70,LLG,PRC0065,50,59.631,1.750,7.04,70.0,N
70,LTI,PRC0065,0,59.315,2.977,3.40,140.0,N
70,LTI,PRC0065,50,59.442,2.844,6.28,140.0,N
70,LLG,NPCC2,0,59.374,1.832,2.15,100.0,N
70,LLG,NPCC2,50,59.457,1.750,1.67,100.0,N
70,LTI,NPCC2,0,59.233,2.977,1.46,200.0,N
70,LTI,NPCC2,50,59.333,2.844,2.37,150.0,N
