penetration_pct,fleet_size,mode,lambda_max,margin_MW,margin_gain_MW
0.0,0,Q+P,2.1337890625,7090.977568359374,0.0
0.0,0,Q-only,2.1337890625,7090.977568359374,0.0
0.0,0,P-only,2.1337890625,7090.977568359374,0.0
5.0,47380,Q+P,2.5,9381.345,2290.367431640625
5.0,47380,Q-only,2.2392578125,7750.603388671874,659.6258203124999
5.0,47380,P-only,2.4296875,8941.594453124999,1850.6168847656245
10.0,94761,Q+P,2.5,9381.345,2290.367431640625
10.0,94761,Q-only,2.3359375,8355.260390624999,1264.2828222656244
10.0,94761,P-only,2.5,9381.345,2290.367431640625
15.0,142141,Q+P,2.5,9381.345,2290.367431640625
15.0,142141,Q-only,2.4267578125,8923.271513671874,1832.2939453125
15.0,142141,P-only,2.4765625,9234.761484375,2143.7839160156254
20.0,189522,Q+P,2.5,9381.345,2290.367431640625
20.0,189522,Q-only,2.5,9381.345,2290.367431640625
20.0,189522,P-only,2.4619140625,9143.146787109374,2052.1692187499993
25.0,236902,Q+P,2.5,9381.345,2290.367431640625
25.0,236902,Q-only,2.5,9381.345,2290.367431640625
25.0,236902,P-only,2.458984375,9124.82384765625,2033.8462792968749
