fleet_size,mode,total_shed_MW,n_uvls_events
0,Q+P,129.48372,6
0,Q-only,129.48372,6
0,P-only,129.48372,6
10000,Q+P,128.7672,4
10000,Q-only,128.7672,4
10000,P-only,128.7672,5
25000,Q+P,128.7672,4
25000,Q-only,128.7672,4
25000,P-only,128.7672,4
50000,Q+P,46.519200000000005,2
50000,Q-only,90.36720000000001,3
50000,P-only,128.7672,4
75000,Q+P,26.880000000000003,1
75000,Q-only,90.36720000000001,3
75000,P-only,84.9192,3
100000,Q+P,26.880000000000003,1
100000,Q-only,46.519200000000005,2
100000,P-only,65.28,2
